Name
C++
Python
Research
Rapid Prototyping
Forschung
Datenanalyse
Unternehmensführung
Projektmanagement
iOS
Xcode
Java
Android
Git
SQL
PHP
C
CSS
Matlab
Microsoft Office
English
HTML-Scripting
